2026-08-11 11:32:26,347 - INFO - ==================================================
2026-08-11 11:32:26,347 - INFO - 🚀 Starting VUCEM Automation Bot
2026-08-11 11:32:26,348 - INFO - ==================================================
2026-08-11 11:32:26,351 - INFO - Cargando proveedores desde BOM...
2026-08-11 11:32:27,806 - INFO - ✅ 3588 proveedores cargados.
2026-08-11 11:32:27,847 - INFO - Cargando insumos por modelo desde BOM (solo categorías al INICIO)...
2026-08-11 11:32:32,256 - INFO - ✅ 1614 modelos con insumos cargados.
2026-08-11 11:32:32,257 - INFO - Procesando archivo maestro (hoja '2026')...
2026-08-11 11:32:32,390 - CRITICAL - ❌ Data preparation failed: 'Worksheet 2026 does not exist.'
2026-08-11 11:33:32,970 - INFO - ==================================================
2026-08-11 11:33:33,009 - INFO - 🚀 Starting VUCEM Automation Bot
2026-08-11 11:33:33,009 - INFO - ==================================================
2026-08-11 11:33:33,016 - INFO - Cargando proveedores desde BOM...
2026-08-11 11:33:34,361 - INFO - ✅ 3588 proveedores cargados.
2026-08-11 11:33:34,361 - INFO - Cargando insumos por modelo desde BOM (solo categorías al INICIO)...
2026-08-11 11:33:38,672 - INFO - ✅ 1614 modelos con insumos cargados.
2026-08-11 11:33:38,986 - INFO - ✅ Generado: PLANTILLA_000000030163_Big_Horns_alien.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:38,995 - INFO - ✅ Generado: PLANTILLA_000000072201_Alien_Creepy.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,000 - INFO - ✅ Generado: PLANTILLA_000000030152_Morak.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,010 - INFO - ✅ Generado: PLANTILLA_000000030158_Blind_Warden.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,015 - INFO - ✅ Generado: PLANTILLA_000000030179_Frankorned.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,020 - INFO - ✅ Generado: PLANTILLA_000000030168_Gorth.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,024 - INFO - ✅ Generado: PLANTILLA_000000030112_Old_Troll.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,031 - INFO - ✅ Generado: PLANTILLA_000000030113_Funny_Troll.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,033 - INFO - ✅ Generado: PLANTILLA_000000030144_Creepy_Voodoo_Master.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:39,037 - INFO - ✅ Generado: PLANTILLA_000000030150_Anciente_Priest.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,043 - INFO - ✅ Generado: PLANTILLA_000000030172_Voodoo_victim.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,045 - INFO - ✅ Generado: PLANTILLA_000000030165_Horned_Sorceress.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:39,047 - INFO - ✅ Generado: PLANTILLA_000000071535_Agatha.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:39,049 - INFO - ✅ Generado: PLANTILLA_000000027990_Staffs__Witch.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,051 - INFO - ✅ Generado: PLANTILLA_000000071544_Scar_wolf.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,053 - INFO - ✅ Generado: PLANTILLA_000000030139_Sack_Creature.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,055 - INFO - ✅ Generado: PLANTILLA_000000030124_Mangy_rat.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,060 - INFO - ✅ Generado: PLANTILLA_000000030125_Rabid_boar.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:39,062 - INFO - ✅ Generado: PLANTILLA_000000030127_Zombie_Cat.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,065 - INFO - ✅ Generado: PLANTILLA_000000030129_Zombie_Capybara.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,066 - INFO - ✅ Generado: PLANTILLA_000000030119_Rotten_Panda.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,069 - INFO - ✅ Generado: PLANTILLA_000000030169_Apenstein.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,072 - INFO - ✅ Generado: PLANTILLA_000000030170_Groaner.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,076 - INFO - ✅ Generado: PLANTILLA_000000030154_Evil_Nutcracker.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:39,079 - INFO - ✅ Generado: PLANTILLA_000000030155_Creepy_Happy.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:39,081 - INFO - ✅ Generado: PLANTILLA_000000030156_Creepy_Sad.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:39,083 - INFO - ✅ Generado: PLANTILLA_000000027985_Little_Abyss.csv (7 filas, 4 variables, col_G=7)
2026-08-11 11:33:39,086 - INFO - ✅ Generado: PLANTILLA_000000027984_Little_Ember.csv (7 filas, 4 variables, col_G=7)
2026-08-11 11:33:39,087 - INFO - ✅ Generado: PLANTILLA_000000027983_Little_Goo.csv (7 filas, 4 variables, col_G=7)
2026-08-11 11:33:39,089 - INFO - ✅ Generado: PLANTILLA_000000027982_Little_Greyson.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:39,093 - INFO - ✅ Generado: PLANTILLA_000000027981_Little_Fang.csv (7 filas, 4 variables, col_G=7)
2026-08-11 11:33:39,095 - INFO - ✅ Generado: PLANTILLA_000000027986_Little_Rotty.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:39,097 - INFO - ✅ Generado: PLANTILLA_000000027978_James_busted.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,099 - INFO - ✅ Generado: PLANTILLA_000000027979_Helen_Busted.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,101 - INFO - ✅ Generado: PLANTILLA_000000027980_William_Busted.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,104 - INFO - ✅ Generado: PLANTILLA_000000331008_Bloody_Curtains.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,107 - INFO - ✅ Generado: PLANTILLA_000000027994_Effigy.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,111 - INFO - ✅ Generado: PLANTILLA_000000027995_Pharaoh.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,113 - INFO - ✅ Generado: PLANTILLA_000000027991_Carnivorous_plant_garden_decor.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:39,116 - INFO - ✅ Generado: PLANTILLA_000000027992_Gnome_garden_decor.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,118 - INFO - ✅ Generado: PLANTILLA_000000028212_Earth_Dragon_Puppet.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,121 - INFO - ✅ Generado: PLANTILLA_000000028213_Fire_Dragon_Puppet.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,124 - INFO - ✅ Generado: PLANTILLA_000000028211_Demon_Puppet.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,128 - INFO - ✅ Generado: PLANTILLA_000000028214_Goat_Puppet.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,131 - INFO - ✅ Generado: PLANTILLA_000000028210_Gargoyle_Puppet.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,135 - INFO - ✅ Generado: PLANTILLA_000000028215_Wacky_Clown_Puppet.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:39,138 - INFO - ✅ Generado: PLANTILLA_000000028122_Hobby_Zombie_Unicorn_Stick.csv (7 filas, 4 variables, col_G=7)
2026-08-11 11:33:39,141 - INFO - ✅ Generado: PLANTILLA_000000028123_Hobby_Zombie_Horse_Stick.csv (7 filas, 4 variables, col_G=7)
2026-08-11 11:33:39,145 - INFO - ✅ Generado: PLANTILLA_000000027976_Chocolate_Gigi.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,149 - INFO - ✅ Generado: PLANTILLA_000000027970_Blady.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,152 - INFO - ✅ Generado: PLANTILLA_000000027966_Possessed_Elf.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,155 - INFO - ✅ Generado: PLANTILLA_000000027967_Mini_Troll.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:39,159 - INFO - ✅ Generado: PLANTILLA_000000027974_Centipede.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,162 - INFO - ✅ Generado: PLANTILLA_000000027977_Fangsy.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,165 - INFO - ✅ Generado: PLANTILLA_000000027971_Punky.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,168 - INFO - ✅ Generado: PLANTILLA_000000027972_Lil´Horns.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,171 - INFO - ✅ Generado: PLANTILLA_000000027973_BoohBlue.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,175 - INFO - ✅ Generado: PLANTILLA_000000668651_Midsummer_Horror_Clown.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:39,179 - INFO - ✅ Generado: PLANTILLA_000000028120_Liging_Severed_Hand.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:39,182 - INFO - ✅ Generado: PLANTILLA_000000028121_Living_Severed_Hand_2.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:39,185 - INFO - ✅ Generado: PLANTILLA_000000084812_Serial_Killer_Apron.csv (7 filas, 4 variables, col_G=7)
2026-08-11 11:33:39,189 - INFO - ✅ Generado: PLANTILLA_000000084811_Forrest_Killer_Apron.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:39,193 - INFO - ✅ Generado: PLANTILLA_000000084810_Butcher_Killer_Apron.csv (7 filas, 4 variables, col_G=7)
2026-08-11 11:33:39,197 - INFO - ✅ Generado: PLANTILLA_000000084285_Lord_jester.csv (13 filas, 10 variables, col_G=13)
2026-08-11 11:33:39,200 - INFO - ✅ Generado: PLANTILLA_000000084286_Lord_jester.csv (14 filas, 11 variables, col_G=14)
2026-08-11 11:33:39,203 - INFO - ✅ Generado: PLANTILLA_000000084287_Lord_jester.csv (14 filas, 11 variables, col_G=14)
2026-08-11 11:33:39,207 - INFO - ✅ Generado: PLANTILLA_000000084280_Lady_Harlequin.csv (14 filas, 11 variables, col_G=14)
2026-08-11 11:33:39,212 - INFO - ✅ Generado: PLANTILLA_000000084281_Lady_Harlequin.csv (14 filas, 11 variables, col_G=14)
2026-08-11 11:33:39,216 - INFO - ✅ Generado: PLANTILLA_000000084282_Lady_Harlequin.csv (14 filas, 11 variables, col_G=14)
2026-08-11 11:33:39,219 - INFO - ✅ Generado: PLANTILLA_000000084295_Miss_Circus_Ringmaster.csv (13 filas, 10 variables, col_G=13)
2026-08-11 11:33:39,221 - INFO - ✅ Generado: PLANTILLA_000000084296_Miss_Circus_Ringmaster.csv (13 filas, 10 variables, col_G=13)
2026-08-11 11:33:39,226 - INFO - ✅ Generado: PLANTILLA_000000084297_Miss_Circus_Ringmaster.csv (13 filas, 10 variables, col_G=13)
2026-08-11 11:33:39,230 - INFO - ✅ Generado: PLANTILLA_000000084840_Spooky_Pumpkin_Scarecrow.csv (8 filas, 5 variables, col_G=8)
2026-08-11 11:33:39,233 - INFO - ✅ Generado: PLANTILLA_000000084841_Spooky_Pumpkin_Scarecrow.csv (8 filas, 5 variables, col_G=8)
2026-08-11 11:33:39,236 - INFO - ✅ Generado: PLANTILLA_000000084842_Spooky_Pumpkin_Scarecrow.csv (8 filas, 5 variables, col_G=8)
2026-08-11 11:33:39,240 - INFO - ✅ Generado: PLANTILLA_000000084835_Mont´s_Glowing_Clown.csv (13 filas, 10 variables, col_G=13)
2026-08-11 11:33:39,244 - INFO - ✅ Generado: PLANTILLA_000000084836_Mont´s_Glowing_Clown.csv (13 filas, 10 variables, col_G=13)
2026-08-11 11:33:39,247 - INFO - ✅ Generado: PLANTILLA_000000084837_Mont´s_Glowing_Clown.csv (13 filas, 10 variables, col_G=13)
2026-08-11 11:33:39,250 - INFO - ✅ Generado: PLANTILLA_000000084826_Kramper_Cape.csv (13 filas, 10 variables, col_G=13)
2026-08-11 11:33:39,254 - INFO - ✅ Generado: PLANTILLA_000000084822_Christmas_Grumpy_Monster.csv (15 filas, 12 variables, col_G=15)
2026-08-11 11:33:39,258 - INFO - ✅ Generado: PLANTILLA_000000084855_Grumpy_Monster.csv (11 filas, 8 variables, col_G=11)
2026-08-11 11:33:39,262 - INFO - ✅ Generado: PLANTILLA_000000084825_Sasquatch_Costume.csv (11 filas, 8 variables, col_G=11)
